URL,Price,Material,TotalArea,RoomsNumber,ApartmentFloorNumber,MaxFloorNumber,Latitude,Longitude,ApartmentAge
https://blagovist.ua/object/117484185,47011.00550275138,Кирпич,34,1,5,16,50.392923,30.4750276,спецпроект 2016-2020 гг.
https://blagovist.ua/object/251680889,189994.99749874938,Кирпич,79,2,3,8,50.4699204,30.5118686,спецпроект 2006-2010 гг.
https://blagovist.ua/object/184575067,110192.59629814909,Кирпич,66.8,2,8,9,50.4524415,30.5021616,спецпроект 2016-2020 гг.
https://blagovist.ua/object/184575064,183279.1395697849,Кирпич,111.1,3,9,9,50.4524415,30.5021616,спецпроект 2016-2020 гг.
https://blagovist.ua/object/184575065,170935.46773386694,Кирпич,103.6,3,8,9,50.4524415,30.5021616,спецпроект 2016-2020 гг.
https://blagovist.ua/object/419670991,58004.0020010005,Кирпич,57,2,5,5,50.45738,30.478521,Сталинка
https://blagovist.ua/object/50365554,440095.0475237619,Кирпич,117,3,10,31,50.410159,30.5448809,спецпроект 2011-2015 гг.
https://blagovist.ua/object/420769030,229989.99499749875,Кирпич,61,2,4,5,50.4471733,30.5107868,Сталинка
https://blagovist.ua/object/33659313,314969.98499249626,Кирпич,89,2,5,19,50.410159,30.5448809,спецпроект 2006-2010 гг.
https://blagovist.ua/object/33659317,349974.9874937469,Кирпич,142,3,5,7,50.4258506,30.5018023,спецпроект 2006-2010 гг.
https://blagovist.ua/object/184575062,83479.23961980992,Кирпич,50.6,1,9,9,50.4524415,30.5021616,спецпроект 2016-2020 гг.
https://blagovist.ua/object/184575063,97023.51175587795,Кирпич,58.8,1,9,9,50.4524415,30.5021616,спецпроект 2016-2020 гг.
https://blagovist.ua/object/184575060,84154.57728864433,Кирпич,51,1,9,9,50.4524415,30.5021616,спецпроект 2016-2020 гг.
https://blagovist.ua/object/251680898,398824.4122061031,Кирпич,192,3,21,25,50.4338821,30.53698,спецпроект 2000-2005 гг.
https://blagovist.ua/object/421247107,62993.99699849926,Кирпич,46,2,5,5,50.452575,30.471277,Хрущевский проект
https://blagovist.ua/object/117484192,174987.49374687346,Кирпич,105,2,21,27,50.4346578,30.5312405,спецпроект 2011-2015 гг.
https://blagovist.ua/object/117484191,75000.0,Керамзито-бетон,96.5,3,15,16,50.5274075,30.5951433,АППС-люкс
https://blagovist.ua/object/117484194,194984.99249624813,Кирпич,81,3,10,31,50.4346578,30.5312405,спецпроект 2016-2020 гг.
