URL,Material,TotalArea,RoomsNumber,FloorNumberCoeff,Latitude,Longitude,Distance,ApartmentAge,Price
https://blagovist.ua/object/50365340,1,92,2,0.30434782608695654,50.4624229,30.4933058,2558.7806161842577,6,172000
https://blagovist.ua/object/117485064,1,158,4,0.7,50.4642048,30.4664647,4363.099709868439,11,310000
https://blagovist.ua/object/285222060,1,118.1,3,0.15384615384615385,50.42731,30.604455,6266.58705545766,6,205000
https://blagovist.ua/object/50367047,1,80,4,1.0,50.4555641,30.5037654,1545.7393018625362,110,259000
https://blagovist.ua/object/419604959,1,91,3,0.16666666666666666,50.4217554,30.5495612,3657.5143322115696,34,127000
https://blagovist.ua/object/419547592,1,70,3,0.16666666666666666,50.4280199,30.5298838,2509.685764246198,81,85000
https://blagovist.ua/object/117485230,1,48,1,0.4166666666666667,50.414458,30.5251721,3982.841430673505,1,104000
https://blagovist.ua/object/285232670,2,100,3,0.4090909090909091,50.5005908,30.5794055,6849.364501098391,16,91000
https://blagovist.ua/object/251684231,1,39,1,0.6875,50.392923,30.4750276,7260.032754718528,1,70000
https://blagovist.ua/object/33659161,1,32.5,1,0.4,50.4171461,30.5548198,4288.762095403932,62,50000
https://blagovist.ua/object/419996871,4,80,2,0.4444444444444444,50.508559,30.4912476,6887.719123711883,39,97000
https://blagovist.ua/object/285234381,4,96,4,0.5555555555555556,50.4954078,30.6018727,7478.204899330919,32,60000
https://blagovist.ua/object/419819240,1,93,2,1.0,50.424656,30.4654741,5031.263427373433,25,114000
https://blagovist.ua/object/420119437,1,48,1,0.5,50.5097298,30.4554996,8207.45669373852,11,55000
https://blagovist.ua/object/251683511,7,95.4,3,0.21739130434782608,50.4337859,30.3720879,10935.49660904053,6,77800
https://blagovist.ua/object/419942274,3,50,1,0.2571428571428571,50.4388283,30.6101722,6259.787485730208,6,95000
https://blagovist.ua/object/117484048,1,33,1,1.0,50.4416112,30.5222379,968.2225249912286,110,96000
https://blagovist.ua/object/201361369,3,151,4,0.36363636363636365,50.4068854,30.5572934,5376.483908436751,1,408000
https://blagovist.ua/object/419808216,1,72,2,0.9230769230769231,50.4069,30.50796,4953.248748254861,1,72000
https://blagovist.ua/object/419967818,1,180,3,0.6875,50.5128722,30.504806,7096.411003648401,16,275000
https://blagovist.ua/object/419865567,4,62,3,0.75,50.4638001,30.6320665,7830.923482046602,64,67000
https://blagovist.ua/object/385896850,4,56,3,0.2,50.4437868,30.423815,7143.269202575833,62,63000
https://blagovist.ua/object/419976737,3,110,3,0.75,50.4007178,30.6166267,8588.546722135485,11,220000
https://blagovist.ua/object/419991350,1,90,3,0.92,50.3824989,30.4914016,7881.9759177682945,11,210000
https://blagovist.ua/object/33658537,1,166,3,0.96,50.4194993,30.5297565,3446.3860707731305,1,417000
https://blagovist.ua/object/285218405,1,75,2,0.75,50.445523,30.52501,532.2018266065048,110,143000
https://blagovist.ua/object/201359373,1,214.4,3,1.0,50.4916626,30.5279405,4615.615890115015,6,550000
https://blagovist.ua/object/419964545,1,66,3,0.5555555555555556,50.429535,30.6442845,8857.404375332357,23,55000
https://blagovist.ua/object/420504258,2,72,3,0.2,50.4089243,30.4004743,9897.336303882312,26,70000
https://blagovist.ua/object/419934604,7,58,2,0.6,50.5039366,30.4251767,9209.118928057364,1,55000
https://blagovist.ua/object/117484741,1,98,3,0.95,50.3843006,30.4562361,8769.545825224091,1,210000
https://blagovist.ua/object/83928264,1,54.8,2,0.25,50.4378563,30.5164266,1476.9188029522338,110,110000
https://blagovist.ua/object/50354978,2,95,3,0.08,50.4100252,30.6176783,8025.866821694408,22,110000
https://blagovist.ua/object/419950438,4,54,2,0.4444444444444444,50.4621065,30.6198823,6945.459096330299,64,65000
https://blagovist.ua/object/83928266,4,64,3,0.6666666666666666,50.4478929,30.4720219,3692.313287723213,39,58000
https://blagovist.ua/object/420380918,1,55,2,0.6666666666666666,50.4824191,30.4390714,7006.077763156452,64,65000
